gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,ebit,lct,lt,ni,re,sale,costat,prcc_c
001004,20100531,2009,INDL,C,D,STD,AIR,USD,863.4290,1501.0420,746.9060,39.4840,95.4150,325.5500,754.6920,44.6280,389.6410,1352.1510,A,22.9800
001004,20110531,2010,INDL,C,D,STD,AIR,USD,913.9850,1703.7270,835.8450,39.7810,137.0160,416.0100,868.4380,69.8260,467.4850,1775.7820,A,27.4700
001004,20120531,2011,INDL,C,D,STD,AIR,USD,1063.2720,2195.6530,864.6490,40.2730,142.3600,473.2260,1329.6310,67.7230,486.5820,2074.4980,A,19.1700
001004,20130531,2012,INDL,C,D,STD,AIR,USD,1033.7000,2136.9000,918.6000,39.3820,136.6000,389.0000,1217.4000,55.0000,542.4000,2167.1000,A,18.6800
001004,20140531,2013,INDL,C,D,STD,AIR,USD,1116.9000,2199.5000,999.5000,39.5600,142.6000,402.1000,1198.8000,72.9000,616.7000,2035.0000,A,28.0100
001004,20150531,2014,INDL,C,D,STD,AIR,USD,954.1000,1515.0000,845.1000,35.4230,-8.6000,412.0000,669.9000,10.2000,603.9000,1594.3000,A,27.7800
001004,20160531,2015,INDL,C,D,STD,AIR,USD,873.1000,1442.1000,865.8000,34.5150,66.1000,329.0000,576.3000,47.7000,637.2000,1662.6000,A,26.2900
001004,20170531,2016,INDL,C,D,STD,AIR,USD,888.5000,1504.1000,914.2000,34.3540,77.2000,335.1000,589.9000,56.5000,688.0000,1767.6000,A,33.0500
001004,20180531,2017,INDL,C,D,STD,AIR,USD,942.7000,1524.7000,936.3000,34.7160,86.0000,333.3000,588.4000,15.6000,701.2000,1748.3000,A,39.2900
001004,20190531,2018,INDL,C,D,STD,AIR,USD,952.5000,1517.2000,905.9000,34.7880,110.7000,357.5000,611.3000,7.5000,668.9000,2051.8000,A,37.3400
001004,20200531,2019,INDL,C,D,STD,AIR,USD,1438.7000,2079.0000,902.6000,35.0970,106.4000,383.1000,1176.4000,4.4000,661.4000,2089.3000,A,45.1000
001004,20210531,2020,INDL,C,D,STD,AIR,USD,937.0000,1539.7000,974.4000,35.3750,65.5000,336.8000,565.3000,35.8000,723.4000,1651.4000,A,36.2200
001045,20101231,2010,INDL,C,D,STD,AAL,USD,6838.0000,25088.0000,-3945.0000,333.4500,308.0000,8780.0000,29033.0000,-471.0000,-8362.0000,22170.0000,A,7.7900
001045,20111231,2011,INDL,C,D,STD,AAL,USD,6757.0000,23848.0000,-7111.0000,335.2680,-286.0000,8630.0000,30959.0000,-1979.0000,-11550.0000,24022.0000,A,0.3500
001045,20121231,2012,INDL,C,D,STD,AAL,USD,7072.0000,23510.0000,-7987.0000,335.2920,494.0000,9304.0000,31497.0000,-1876.0000,-12442.0000,24855.0000,A,0.7950
