gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup
001045,20211231,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,A,2030
001075,20211231,2021,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,A,5510
001078,20211231,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,A,3510
001161,20211231,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,A,4530
001209,20210930,2021,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,A,1510
001230,20211231,2021,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,A,2030
001234,20211231,2021,INDL,C,D,STD,ATRI,ATRION CORP,USD,A,3510
001254,20211231,2021,INDL,C,D,STD,MATX,MATSON INC,USD,A,2030
001257,20211231,2021,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,A,6010
001300,20211231,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,A,2010
001327,20210930,2021,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,A,4530
001380,20211231,2021,INDL,C,D,STD,HES,HESS CORP,USD,A,1010
001410,20211031,2021,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,A,2020
001414,20211231,2021,INDL,C,D,STD,PRI,PRIMERICA INC,USD,A,4030
001439,20211231,2021,INDL,C,D,STD,ECOL,US ECOLOGY INC,USD,A,2020
001440,20211231,2021,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,A,5510
001447,20211231,2021,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,A,4020
001449,20211231,2021,INDL,C,D,STD,AFL,AFLAC INC,USD,A,4030
001487,20211231,2021,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,A,4030
001526,20211231,2021,INDL,C,D,STD,ANAT,AMERICAN NATIONAL GROUP INC,USD,A,4030
001585,20211231,2021,INDL,C,D,STD,AVD,AMERICAN VANGUARD CORP,USD,A,1510
001598,20211231,2021,INDL,C,D,STD,AME,AMETEK INC,USD,A,2010
001602,20211231,2021,INDL,C,D,STD,AMGN,AMGEN INC,USD,A,3520
001632,20211031,2021,INDL,C,D,STD,ADI,ANALOG DEVICES,USD,A,4530
001659,20211231,2021,INDL,C,D,STD,ANDE,ANDERSONS INC,USD,A,3010
001661,20211231,2021,INDL,C,D,STD,NBR,NABORS INDUSTRIES LTD,USD,A,1010
001678,20211231,2021,INDL,C,D,STD,APA,APA CORP,USD,A,1010
001690,20210930,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,A,4520
001704,20211031,2021,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,A,4530
001722,20211231,2021,INDL,C,D,STD,ADM,ARCHER-DANIELS-MIDLAND CO,USD,A,3020
001743,20211231,2021,INDL,C,D,STD,ARCB,ARCBEST CORP,USD,A,2030
001773,20211231,2021,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,A,4520
001794,20210930,2021,INDL,C,D,STD,ASH,ASHLAND GLOBAL HOLDINGS INC,USD,A,1510
001823,20211231,2021,INDL,C,D,STD,ATRO,ASTRONICS CORP,USD,A,2010
001864,20220131,2021,INDL,C,D,STD,REX,REX AMERICAN RESOURCES CORP,USD,A,1010
001878,20220131,2021,INDL,C,D,STD,ADSK,AUTODESK INC,USD,A,4510
